"case_type","case_number","status","incident_date","incident_time","incident_type","incident_location_type","incident_location","incident_city","incident_state","incident_zip","incident_county","LEA","child_id","child_race","child_gender","child_perceived_age","offender_gender","offender_race","offender_age","offender_perceived_age","vehicle_style","vehicle_color","offender_method","offender_method_detail","offender_statement","how_got_away","how_got_away_detail","child_amount","offender_amount"
"Attempted Abduction",1041138,"Closed","2006-03-31","07:00","Attempted Abduction","School - Bus Stop","Long Ave & Third St","Bullhead City","AZ",86429,"Mohave","Bullhead City (AZ) PD","293693","Hispanic","Female","14","Male","White",NA,"30-40",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1041144,"Closed","2006-03-30","12:00","Attempted Abduction","Outdoor - Open Area","Unknown address","Wichita","KS",67201,"Sedqwick","Wichita (KS) PD","293701","White","Female","8","Male","White",NA,"40-50",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1042517,"Closed","2006-04-17","07:00","Attempted Abduction","School - Bus Stop","Wagon Trail Rd & Cantu Rd","Pearland","TX",77584,"Brazoria","Pearland (TX) PD","295198","Unknown","Female","9","Male","White","20",NA,NA,"Silver","ride/other","Impersonated police",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1042947,"Closed","2006-04-22","17:45","Attempted Abduction","Park","6853 N Mendota Ave","Chicago","IL",60646,"Cook","Chicago (IL) PD, Area Five","295664","White","Male","10","Male","White",NA,"35-40",NA,"Black","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1043017,"Closed","2006-04-20","00:00","Attempted Abduction","Park","Parkway Rd & Fullerton Dr - Dodge Park","Waterford","MI",48328,"Oakland","Oakland Co (MI) SO","295725","Unknown","Female","13","Male","White",NA,"35-40",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1045033,"Closed","2006-04-14","22:30","Sexual Assault","Street","24076 SE Stark St","Gresham","OR",97030,"Multnomah","Gresham (OR) PD","297876","Unknown","Female","17","Male","White","49",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1046211,"Closed","2006-06-01","02:00","Attempted Abduction","Home - Residence","4300 Abbott Ave S","Minneapolis","MN",55410,"Hennepin","Minneapolis (MN) PD","299085","White","Female","10","Male","White",NA,"40-49",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1049745,"Closed","2006-07-17","11:30","Attempted Abduction","Street","Main St","Acushnet","MA",2743,"Bristol","Acushnet (MA) PD","302702","Unknown","Female","13","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1050370,"Closed","2006-07-29","13:15","Sexual Assault","Retail - Other","1173 N Burleson Blvd","Burleson","TX",76028,"Johnson","Burleson (TX) PD","303318","Unknown","Female","12","Male","White","38",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1061960,"Closed","2006-12-12","00:00","Attempted Abduction","Retail - Other","4155 W Lake Mary Blvd - Target Store","Lake Mary","FL",32746,"Seminole","Seminole Co (FL) SO","315648","Unknown","Male","13","Male","White","22",NA,NA,NA,"money",NA,NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1073714,"Closed","2007-06-19","08:45","Attempted Abduction","Unknown","Unknown address","Mill Creek","WA",98012,"King","Mill Creek (WA) PD","327997","Unknown","Male","Unknown","Male","White",NA,"40-50",NA,"Brown","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1074613,"Closed","2007-07-04","13:30","Attempted Abduction","Street","Unknown address","Chesterfield","IN",46017,"Madison","Chesterfield (IN) PD","329014","White","Female","13","Male","White",NA,"40-49",NA,NA,"other","Help",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1074615,"Closed","2007-06-28","21:00","Attempted Abduction","Street","Unknown address","Mooresville","IN",46158,"Morgan","Moorseville (IN) PD","329016","White","Male","10","Male","White",NA,"20-29",NA,"Green","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1076080,"Closed","2007-07-26","08:48","Attempted Abduction","Parking Lot/Garage","2729 South Congress Ave","Austin","TX",78704,"Travis","Austin (TX) PD","330586","Unknown","Female","7","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1076750,"Closed","2007-08-01","17:15","Attempted Abduction","Street","Green Park Dr & Oak Ridge Dr","Mt Joy","PA",17552,"Lancaster","PA State Police","331250","White","Male","10","Male","White",NA,"30-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1080149,"Closed","2007-09-24","18:45","Suspicious Incident","Park","Fairfield Ave & Riviera Dr","Bellevue","KY",41073,"Campbell","Bellevue (KY) PD","335181","Unknown","Male","12","Male","White","32",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1080792,"Closed","2007-10-03","09:25","Attempted Abduction","Other","100 Hancock Ln","Pensacola","FL",32503,"Escambia","Escambia Co (FL) PD","335968","Unknown","Female","14","Male","White",NA,"40-49",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1081006,"Closed","2007-10-08","19:25","Attempted Abduction","Street","Fournier St & Dexter Ave","Palm Bay","FL",32908,"Brevard","Palm Bay (FL) PD","336228","Unknown","Female","11","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1081012,"Closed","2007-10-05","00:00","Attempted Abduction","School - Facility","930 Parkwood St","Groveland","FL",34736,"Lake","Groveland (FL) PD","336232","Unknown","Male","10","Male","White",NA,"45-60",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1083415,"Closed","2007-11-06","06:40","Sexual Assault","School - Bus Stop","W 98th St & Denison Ave","Cleveland","OH",44102,"Cuyahoga","Cleveland (OH) PD","338903","Unknown","Female","16","Male","White",NA,"30-40",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1083429,"Closed","2006-05-15","15:20","Sexual Assault","Street","2400 Chestnut Ave","Long Beach","CA",90806,"Los Angeles","Long Beach (CA) PD","338925","Unknown","Female","12","Male","White",NA,"25-30",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1083444,"Closed","2007-11-03","19:30","Attempted Abduction","Retail - Other","718 4th St - Pamida Store","Gothenburg","NE",69138,"Dawson","Gothenburg (NE) PD","338939","Unknown","Male","5","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1083445,"Closed","2007-11-06","00:00","Attempted Abduction","School - Bus Stop","8100 S Mobile Way","Englewood","CO",80112,"Arapahoe","Arapahoe Co (CO) SO","338941","Unknown","Female","13","Male","White",NA,"30-39",NA,"White","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1083996,"Closed","2007-11-09","06:50","Attempted Abduction","School - Bus Stop","200 Bellflower Av NW","Canton","OH",44708,"Stark","Canton (OH) PD","339593","Unknown","Female","15","Male","White","28",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1084233,"Closed","2007-11-14","15:15","Attempted Abduction","Street","Evergreen Ave & Cornelia St","Brooklyn","NY",11221,"New York","New York (NY) PD","339907","Black","Female","9","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1085059,"Closed","2007-12-03","08:00","Attempted Abduction","School - Bus Stop","Saxon Blvd & Baton Dr","Deltona","FL",32725,"Volusia","Volusia Co (FL) SO","340894","Hispanic","Female","13","Male","White",NA,"20-39",NA,"Red","other","Meeting",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1085215,"Closed","2007-12-05","16:30","Attempted Abduction","Street","4th St NW & Broad Ave NW","Canton","OH",44708,"Stark","Canton (OH) PD","341093","Unknown","Female","8","Male","White",NA,"50-60",NA,NA,"other","Unknown",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1085216,"Closed","2007-12-04","08:00","Sexual Assault","Street","W Sundance Pkwy S & S 219th Ln","Buckeye","AZ",85326,"Maricopa","Buckeye (AZ) PD","341094","Unknown","Female","12","Male","White",NA,"30-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1085491,"Closed","2007-12-10","12:00","Attempted Abduction","Street","Finley Butte Rd & Darlene Rd","La Pine","OR",97739,"Deschutes","Deschutes Co (OR) SD","341388","Unknown","Female","16","Male","White",NA,"25-35",NA,"Dark","ride",NA,NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1086822,"Closed","2008-01-07","10:00","Sexual Assault","School - Bus Stop","Nova Ave & US 192","St Cloud","FL",34773,"Osceola","Osceola Co (FL) SO","342987","Unknown","Female","10","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1088739,"Closed","2008-01-10","07:00","Sexual Assault","Street","N Buffalo Dr & Grand Teton Dr","Las Vegas","NV",89131,"Clark","Las Vegas (NV) MPD","345245","Unknown","Female","15","Male","White",NA,"25-30",NA,"Red","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1088754,"Closed","2008-01-23","07:30","Attempted Abduction","Street","Wind Dale Dr & Parry Ave","Caledonia","WI",53402,"Kenosha","Caledonia (WI) PD","345266","White","Male","13","Male","White",NA,"55-60",NA,"Silver","ride",NA,NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1089021,"Closed","2008-02-12","09:00","Sexual Assault","Street","S Chickasaw Tr & Curry Ford Rd","Orlando","FL",32822,"Orange","Orange Co (FL) SO","345584","Hispanic","Male","Unknown","Male","White",NA,"17-20",NA,NA,"other","Walk",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1089216,"Closed","2006-01-27","11:30","Attempted Abduction","Parking Lot/Garage","5498 Park Blvd - Church's Chicken Restaurant","Pinellas Park","FL",33781,"Pinellas","Pinellas Park (FL) PD","345825","Unknown","Female","14","Male","White",NA,"35-45",NA,NA,"money",NA,NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1090219,"Closed","2008-02-17","18:37","Abduct & Release","Street","9800 Weir Loop Cir","Austin","TX",78736,"Travis","Travis Co (TX) SO","346991","Unknown","Female","9","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1090613,"Closed","2008-03-04","19:00","Attempted Abduction","School - Facility","1535 Bridge St - Oroville HS","Oroville","CA",95966,"Butte","Oroville (CA) PD","347444","Unknown","Female","16","Male","White",NA,"30-39",NA,NA,"other","Directions",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1091191,"Closed","2007-10-20","18:45","Attempted Abduction","Street","7100 Point Replete Dr","Fort Belvoir","VA",22060,"Fairfax","Fairfax Co (VA) PD","348095","Unknown","Male","13","Male","White",NA,"20-30",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1091243,"Closed","2008-03-12","14:15","Attempted Abduction","School - Facility","1401 9th St","Coralville","IA",52241,"Johnson","Coralville (IA) PD","348152","White","Female","7","Male","White",NA,"Unknown",NA,"Red","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1092851,"Closed","2008-03-31","14:45","Attempted Abduction","Street","10300 S Ewing Ave","Chicago","IL",60617,"Cook","Chicago (IL) PD","349972","Unknown","Female","7","Male","White",NA,"Unknown",NA,"White","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1093105,"Closed","2008-04-04","00:00","Attempted Abduction","Street","Kinnane Ave & Clifton Ave","Springfield","OH",45505,"Clark","Clark Co (OH) SO","350279","White","Female","16","Male","White",NA,"30-49",NA,"Green, Dark","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1093493,"Closed","2008-04-12","19:00","Attempted Abduction","Street","1500 Southwest Pkwy","College Station","TX",77840,"Brazos","College Station (TX) PD","350729","Unknown","Female","16","Male","White",NA,"40",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1094683,"Closed","2008-04-22","00:00","Attempted Abduction","Street","Unknown address","Pecatonica","IL",61063,"Winnebago","Pecatonica (IL) PD","352100","Unknown","Female","Unknown","Male","White","63",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1094752,"Closed","2008-04-12","18:30","Attempted Abduction","Retail - Other","300 Vintage Way - Costco","Novato","CA",94945,"Marin","Novato (CA) PD","352186","Unknown","Female","8","Male","White",NA,"35",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1095739,"Closed","2008-05-09","16:00","Attempted Abduction","Home - Residence","66 Northwood Drive, #131","Sandy Springs","GA",30342,"Fulton","Sandy Springs (GA) PD","353241","Unknown","Female","14","Male","White",NA,"20-30",NA,"Gray","other","Impersonated painter",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1095932,"Closed","2008-05-11","01:39","Sexual Assault","Home - Residence","Route 6A","Dennis","MA",2638,"Barnstable","Dennis (MA) PD","353462","Unknown","Female","15","Male","White",NA,"20-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1096442,"Closed","2008-05-10","13:30","Attempted Abduction","Street","100 E Fifth Ave","Kennewick","WA",99336,"Benton","Kennewick (WA) PD","354033","Unknown","Male","10","Male","White","65",NA,NA,NA,"other","Unknown",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1096444,"Closed","2008-05-16","16:00","Attempted Abduction","Street","N 6th St & Bogar Ln","Harrisburg","PA",17110,"Susquehanna","Susquehanna Twp (PA) PD","354037","Unknown","Female","10","Male","White",NA,"20-30",NA,"Brown","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1096446,"Closed","2008-05-19","08:15","Attempted Abduction","Street","663 Gallivan Blvd","Boston","MA",2124,"Suffolk","Boston (MA) PD","354038","Black","Male","12","Male","White",NA,"45-59",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1096689,"Closed","2008-05-27","15:00","Attempted Abduction","Unknown","Florida A1A","Satellite Beach","FL",32937,"Brevard","Satellite Beach (FL) PD","354301","Unknown","Female","4","Male","White","44",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1097120,"Closed","2008-05-19","20:15","Attempted Abduction","Street","7900 Rowland Ave","Philadelphia","PA",19136,"Philadelphia","Philadelphia (PA) PD","354745","Unknown","Male","12","Male","White",NA,"30-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1097121,"Closed","2008-05-21","14:30","Attempted Abduction","Street","64 Henry St","Cheektowaga","NY",14227,"Erie","Cheektowaga (NY) PD","354746","White","Female","Unknown","Male","White",NA,"15-25",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1097234,"Closed","2008-05-31","20:30","Abduct & Release","Home - Residence","2800 B 1/2 Rd","Grand Junction","CO",81503,"Mesa","Mesa Co (CO) SO","354867","White","Female","10","Male","White","40",NA,NA,NA,"animal",NA,NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1097337,"Closed","2008-05-17","14:30","Attempted Abduction","Home-Other","Cannon Ln & Patriot St","York","PA",17408,"York","Southwestern (PA) RPD","354978","Unknown","Male","5","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1097447,"Closed","2008-06-04","07:30","Sexual Assault","Street","Yard Wy & Baldauf St","Pittsburgh","PA",15203,"Allegheny","Pittsburgh (PA) PD","355112","Unknown","Female","10","Male","White",NA,"20-29",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1097567,"Closed","2008-06-01","12:00","Attempted Abduction","Retail - Other","30 Trinity Point Dr - Walmart","Washington","PA",15301,"Washington","South Strabane (PA) PD","355236","Unknown","Female","12","Male","White",NA,"35-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1098939,"Closed","2008-06-22","23:00","Attempted Abduction","Street","S Elm St &  W Walnut St","Waterloo","IN",46793,"Dekalb","Waterloo (IN) PD","356757","Unknown","Female","17","Male","White",NA,"22-27",NA,"Maroon","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1099017,"Closed","2008-06-20","18:20","Attempted Abduction","Street","Firman St & Greenwing Dr","Chesapeake","VA",23323,"Chesapeake City","Chesapeake (VA) PD","356847","Unknown","Male","13","Male","White","36",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1099660,"Closed","2008-06-20","13:40","Attempted Abduction","Street","McClellandtown Rd & W Berkeley St","Uniontown","PA",15401,"Fayette","PA State Police","357573","Unknown","Female","16","Male","White","61",NA,NA,NA,"other","Question",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1099918,"Closed","2008-07-03","03:45","Attempted Abduction","Home - Residence","Unknown address","Bloomington","IN",47401,"Monroe","Monroe Co (IN) S0","357858","Unknown","Female","15","Male","White",NA,"20-29",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1103618,"Closed","2007-09-10","21:00","Abduct & Release","Street","5100 N 2nd St","Philadelphia","PA",19120,"Philadelphia","Philadelphia (PA) PD","362059","Unknown","Female","16","Male","White",NA,"20-29",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1104552,"Closed","2008-08-31","04:00","Abduct & Release","Home - Residence","Pine St & Old St","Clio","MI",48420,"Genesee","Clio (MI) PD","363021","Unknown","Female","13","Male","White","34",NA,NA,NA,"other","Unknown",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1104633,"Closed","2008-09-02","00:00","Attempted Abduction","Street","N Willow Ave & NW 23rd St","Bethany","OK",73008,"Oklahoma","Bethany (OK) PD","363112","Black","Female","9","Male","White",NA,"20-29",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1105309,"Closed","2008-09-10","08:00","Attempted Abduction","Street","625 Maine Ave - Edison ES","Long Beach","CA",90813,"Los Angeles","Long Beach (CA) PD","363879","Unknown","Female","8","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1107215,"Closed","2008-10-02","16:27","Attempted Abduction","Street","N 24th St & Vine St","Lincoln","NE",68503,"Lancaster","Lincoln (NE) PD","365966","Unknown","Male","9","Male","White","24",NA,NA,NA,"other","Unknown",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1107780,"Closed","2008-10-09","11:00","Attempted Abduction","Home - Residence","Holden St & Hope St","Attleboro","MA",2703,"Bristol","Attleboro (MA) PD","366591","Unknown","Male","13","Male","White","46",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1107941,"Closed","2008-10-13","00:00","Attempted Abduction","Street","Norman St & Concord St","Rockland","MA",2370,"Plymouth","Rockland (MA) PD","366776","White","Female","11","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1108580,"Closed","2008-10-19","00:00","Attempted Abduction","Street","W Auberry Grove & Elm St","Jamesport","MO",64648,"Daviess","Daviess Co (MO) SO","367473","Unknown","Female","11","Male","White",NA,"Unknown",NA,"Purple","ride",NA,NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1109490,"Closed","2008-10-21","00:00","Sexual Assault","Home - Residence","Isenhart Rd & Olds Station Rd","Wenatchee","WA",98801,"Chelan","Chelan Co (WA) SO","368462","Unknown","Female","15","Male","White","28",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1109999,"Closed","2008-11-13","17:00","Attempted Abduction","Street","5106 Academy Dr","Madison","WI",53716,"Dane","Madison (WI) PD","369045","Unknown","Female","Unknown","Male","White",NA,"16-17",NA,NA,"other","Directions",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1112132,"Closed","2008-12-14","23:30","Sexual Assault","Home - Residence","2800 County Dr","Petersburg","VA",23803,"Prince George","Petersburg (VA) PD","371393","Black","Female","14","Male","White",NA,"40-50",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1112137,"Closed","2008-12-11","00:00","Attempted Abduction","Street","Harrison Ave & W 6th Ave","Lancaster","OH",43130,"Fairfield","Lancaster (OH) PD","371399","White","Male","10","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1113514,"Closed","2008-12-30","15:30","Attempted Abduction","Street","100 S Idaho St","Dillon","MT",59725,"Beaverhead","Dillon (MT) PD","372905","Unknown","Female","9","Male","White",NA,"20-25",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1113796,"Closed","2009-01-09","00:00","Attempted Abduction","Street","8th St & Patterson Rd","Riverbank","CA",95367,"Stanislaus","Riverbank (CA) PD","373203","Unknown","Female","11","Male","White",NA,"25",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1115553,"Closed","2009-02-02","14:45","Attempted Abduction","School - Bus Stop","580 Broadway","Chelsea","MA",2150,"Suffolk","Chelsea (MA) PD","375178","Unknown","Female","8","Male","White","43",NA,NA,NA,"other","Claimed to be Relative",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1116275,"Closed","2009-02-16","15:00","Attempted Abduction","Street","Brundige Rd & W Weaver Cir","Geneva","IL",60134,"Kane","Kane Co (IL) SD","375998","Unknown","Male","9","Male","White",NA,"20-30",NA,"Green, Dark","other","Conversation",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1116514,"Closed","2009-02-13","00:00","Attempted Abduction","Parking Lot/Garage","1500 Barksdale Blvd","Bossier City","LA",71111,"Bossier","Bossier City (LA) PD","376297","Unknown","Female","9","Male","White","73",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1117687,"Closed","2009-03-04","00:00","Attempted Abduction","Street","Unknown Address","Carrollton","KY",41008,"Carroll","Carrollton (KY) PD","377584","Unknown","Female","13","Male","White","19",NA,NA,"Gray","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1117885,"Closed","2009-03-09","08:30","Attempted Abduction","Street","Ashland Ave","Elkhart","IN",46516,"Elkhart","Elkhart (IN) PD","377803","Unknown","Female","8","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1118263,"Closed","2009-03-08","20:00","Attempted Abduction","Unknown","1705 Wheaton Trace","Fort Smith","AR",72908,"Sebastian","Fort Smith (AR) PD","378212","White","Male","13","Male","White",NA,"40",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1118631,"Closed","2009-03-16","00:00","Attempted Abduction","School - Facility","2950 Dale St","Fremont","NE",68025,"Dodge","Fremont (NE) PD","378632","Unknown","Male","7","Male","White",NA,"30-40",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1119970,"Closed","2009-04-06","14:15","Attempted Abduction","Street","Hecker St & Cartier St","Manchester","NH",3102,"Hillsborough","Manchester (NH) PD","380088","Unknown","Male","Unknown","Male","White",NA,"20-25",NA,NA,"other","Sex",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1120080,"Closed","2009-03-07","16:25","Attempted Abduction","Street","Sand Creek Rd & Sunset Blvd","Colonie","NY",12205,"Albany","Colonie (NY) PD","380211","White","Female","14","Male","White","27",NA,NA,"White","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1120562,"Closed","2009-04-08","09:30","Attempted Abduction","Street","2000 118th St","Star Prairie","WI",54017,"St. Croix","St. Croix Co. (WI) SO","380743","Unknown","Female","16","Male","White","22",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1120706,"Closed","2009-03-12","12:15","Attempted Abduction","Street","1700 S 92nd St","Tacoma","WA",98444,"Pierce","Tacoma (WA) PD","380907","Unknown","Female","11","Male","White",NA,"30-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1121529,"Closed","2009-04-28","00:00","Attempted Abduction","Street","S 1st St","Lewiston","MN",55952,"Winona","Lewiston (MN) PD","381857","Unknown","Female","Unknown","Male","White",NA,"Unknown",NA,"Black","other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1122055,"Closed","2009-05-04","16:45","Attempted Abduction","Street","4900 Fairwood Blvd NE","Tacoma","WA",98422,"Pierce","Tacoma (WA) PD","382441","Unknown","Female","14","Male","White",NA,"30-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1122417,"Closed","2009-05-10","00:00","Attempted Abduction","Home - Residence","Unknown Address","Stitzer","WI",53825,"Grant","Grant Co (WI) SD","382863","Unknown","Female","14","Male","White",NA,"35-45",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1123302,"Closed","2009-05-20","20:10","Attempted Abduction","School - Bus Stop","Perdue Ave & Mecca Rd","Mifflin","OH",43224,"Franklin","Franklin Co. (OH) SO","383884","Unknown","Male","12","Male","White",NA,"50-59",NA,NA,"other","Questions",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1123643,"Closed","2009-03-11","18:30","Attempted Abduction","Home - Residence","1700 N Hill St","Fort Scott","KS",66701,"Butler","Rose Hill (KS) PD","384260","Unknown","Female","15","Male","White",NA,"40-50",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1124135,"Closed","2009-05-28","00:00","Attempted Abduction","Street","1300 University St","Walla Walla","WA",99362,"Walla Walla","Walla Walla (WA) PD","384778","Unknown","Female","14","Male","White","24",NA,NA,NA,"other","Fun",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1124210,"Closed","2009-05-28","21:00","Attempted Abduction","Retail - Food/Conv/Gas","3627 Airport Way","Fairbanks","AK",99709,"Fairbanks","Fairbanks (AK) PD","384858","Unknown","Male","6","Male","White",NA,"22-27",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1124871,"Closed","2009-06-06","18:00","Attempted Abduction","Outdoor - Open Area","W Red Bank Ave & Frances Ave","West Deptford","NJ",8096,"Gloucester","West Deptford (NJ) PD","385653","Unknown","Female","15","Male","White",NA,"40-50",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1125613,"Closed","2009-05-20","08:15","Attempted Abduction","School - Bus Stop","Perdue Ave & Mecca Rd","Mifflin","OH",43224,"Franklin","Franklin Co (OH) SO","386465","Unknown","Male","12","Male","White",NA,"50-59",NA,NA,"other","Questions",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1125662,"Closed","2008-09-02","00:00","Attempted Abduction","School - Bus Stop","W Berwick St & Seitz St","Easton","PA",18042,"Northampton","Easton (PA) PD","386523","Unknown","Male","12","Male","White",NA,"25-35",NA,NA,"other","Cigarette lighter",NA,"Fought/Broke Free",NA,1,1
"Attempted Abduction",1129923,"Closed","2009-08-17","13:00","Suspicious Incident","Retail - Other","4601 N Illinois St","Fairview Heights","IL",62208,"St Clair","Fairview Heights (IL) PD","391304","Unknown","Male","7","Male","White","40",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1
