"incident_zip","case_type","case_number","status","incident_date","incident_time","incident_type","incident_location_type","incident_location","incident_city","incident_state","incident_county","LEA","child_id","child_race","child_gender","child_perceived_age","offender_gender","offender_race","offender_age","offender_perceived_age","vehicle_style","vehicle_color","offender_method","offender_method_detail","offender_statement","how_got_away","how_got_away_detail","child_amount","offender_amount","Latitude","Longitude"
19120,"Attempted Abduction",1136783,"Closed","2009-11-25","07:30","Attempted Abduction","Street","W Champlost St & N Mascher St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","398982","Unknown","Female","17","Male","Black",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,40.0343,-75.1213
19120,"Attempted Abduction",1105909,"Closed","2008-08-26","20:45","Attempted Abduction","Street","5700 N American St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","364549","Unknown","Female","16","Male","Black",NA,"30-39",NA,"Black","other","Unknown",NA,"Fought/Broke Free",NA,1,1,40.0343,-75.1213
19120,"Attempted Abduction",1115365,"Closed","2009-02-01","17:00","Sexual Assault","Street","200 W Sulis St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","374935","Unknown","Female","17","Male","Black",NA,"17","Sport Utility","Blue, Dark","other","Unknown",NA,"Unknown",NA,1,1,40.0343,-75.1213
19120,"Attempted Abduction",1120437,"Closed","2009-03-01","14:15","Sexual Assault","Street","700 W Tabor Rd","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","380613","Unknown","Female","15","Male","Black",NA,"19-35",NA,NA,"other","None",NA,"Released",NA,1,1,40.0343,-75.1213
19120,"Attempted Abduction",1091791,"Closed","2008-03-10","08:45","Attempted Abduction","Street","5300 Westford Rd","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","348782","Unknown","Female","12","Male/Male","White/Black",NA,"30-40/Unknown","Van","White","other","None",NA,"Ran Away",NA,1,2,40.0343,-75.1213
19120,"Attempted Abduction",1099461,"Closed","2008-06-12","18:00","Attempted Abduction","Street","5800 N Front St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","357336","Unknown","Male","7","Male","Black",NA,"Unknown","Sport Utility","Green","other","None",NA,"Fought/Broke Free",NA,1,1,40.0343,-75.1213
19120,"Attempted Abduction",1103618,"Closed","2007-09-10","21:00","Abduct & Release","Street","5100 N 2nd St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362059","Unknown","Female","16","Male","White",NA,"20-29",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,40.0343,-75.1213
19120,"Attempted Abduction",1103627,"Closed","2007-11-03","22:30","Sexual Assault","Street","800 W Rockland St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362067","Unknown","Female","16","Male","Black",NA,"17-25",NA,NA,"other","None",NA,"Released",NA,1,1,40.0343,-75.1213
19121,"Attempted Abduction",1112074,"Closed","2008-12-09","22:35","Exposure","Street","1300 N Hollywood St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","371322","Unknown","Female","16","Male","Black",NA,"20-22",NA,NA,"other","None",NA,"Ran Away",NA,1,1,39.9811,-75.174
19121,"Attempted Abduction",1097117,"Closed","2008-05-13","08:35","Exposure","Street","2200 W Norris St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","354733/354738","Unknown/Unknown","Female/Female","6/13","Male","Black",NA,"30-39",NA,NA,"other","None",NA,"Ran Away",NA,2,1,39.9811,-75.174
19121,"Attempted Abduction",1103523,"Closed","2007-05-26","02:00","Sexual Assault","Home - Residence","1700 N 33rd St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361961","Unknown","Female","16","Male","Black",NA,"22-28",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9811,-75.174
19121,"Attempted Abduction",1144097,"Closed","2007-01-12","09:40","Attempted Abduction","Street","1400 N 26th St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407229","Unknown","Male","15","Male","White",NA,"30-40","Pickup Truck","White","other","Question",NA,"Ran Away",NA,1,1,39.9811,-75.174
19121,"Attempted Abduction",1103507,"Closed","2007-05-09","15:35","Attempted Abduction","Street","3200 W Montgomery Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361943","Unknown","Female","9","Male","Black",NA,"20-30","Sport Utility","Blue","other","None",NA,"Fought/Broke Free",NA,1,1,39.9811,-75.174
19121,"Attempted Abduction",1124027,"Closed","2009-05-22","07:45","Attempted Abduction","Street","1900 N 31st St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","384673","Unknown","Female","15","Male","Black",NA,"Unknown","Sport Utility","White","other","None",NA,"Ignored/Refused",NA,1,1,39.9811,-75.174
19121,"Attempted Abduction",1141846,"Closed","2010-02-16","15:30","Suspicious Incident","Street","2100 W Berks St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","404642","Unknown","Female","10","Male","Black",NA,"30-39","Sedan, 4 door",NA,"other","None",NA,"Ran Away",NA,1,1,39.9811,-75.174
19123,"Attempted Abduction",1136775,"Closed","2009-11-20","13:30","Attempted Abduction","Street","1100 W Girard Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","398971","Unknown","Female","15","Male","Hispanic",NA,"Unknown",NA,"Black","other","Conversation",NA,"Fought/Broke Free",NA,1,1,39.966,-75.151
19123,"Attempted Abduction",1103499,"Closed","2007-05-08","06:50","Attempted Abduction","Street","1200 N Front St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361934","Unknown","Female","15","Male","White",NA,"30-39","Pickup Truck","White","other","Question",NA,"Unknown",NA,1,1,39.966,-75.151
19123,"Attempted Abduction",1103575,"Closed","2007-08-28","23:00","Attempted Abduction","Street","1000 Brown St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362008","Unknown","Female","14","Male","White",NA,"40-49","Pickup Truck","White","other","None",NA,"Ignored/Refused",NA,1,1,39.966,-75.151
19124,"Attempted Abduction",1103790,"Closed","2008-06-11","01:00","Sexual Assault","Street","1100 Adams Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362237","Unknown","Female","16","Male","Black","18",NA,NA,NA,"other","None",NA,"Released",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1105911,"Closed","2008-08-31","20:45","Abduct & Release","Street","5300 Hedge St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","364552","Unknown","Female","16","Male","Black",NA,"40-49",NA,NA,"other","None",NA,"Released",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1144098,"Closed","2006-01-08","06:45","Sexual Assault","School - Bus Stop","4701 Oxford Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407230","Unknown","Female","14","Male","Black",NA,"18-20",NA,NA,"other","None",NA,"Released",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1144053,"Closed","2007-03-14","07:50","Suspicious Incident","Street","1600 Unity St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407181","Unknown","Female","13","Male","Hispanic",NA,"40-49",NA,"White","other","None",NA,"Ran Away",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1103533,"Closed","2007-07-12","18:40","Sexual Assault","Street","4900 Saul St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361972","Unknown","Female","16","Male","White",NA,"32-38",NA,NA,"other","None",NA,"Released",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1120488,"Closed","2009-03-24","16:10","Sexual Assault","Street","4800 Rutland St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","380666","Unknown","Female","13","Male","Black",NA,"13-19",NA,NA,"other","None",NA,"Unknown",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1112075,"Closed","2008-12-09","08:09","Sexual Assault","Street","1900 Wakeling St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","371323","Unknown","Female","12","Male","Black",NA,"28-30",NA,NA,"other","None",NA,"Ran Away",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1112545,"Closed","2008-12-16","09:55","Attempted Abduction","Street","5600 Loretto Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","371855","Unknown","Female","13","Male","Black",NA,"30-39","Sedan, 4 door",NA,"other","Conversation",NA,"Adult Intervened",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1139977,"Closed","2010-01-25","00:00","Attempted Abduction","Street","2000 Wakeling St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","402555","Unknown","Female","12","Male","Black",NA,"30-39",NA,NA,"other","Unknown",NA,"Ran Away",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1142682,"Closed","2010-03-03","08:09","Sexual Assault","Street","4700 Torresdale Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","405601","Unknown","Female","13","Male","Black",NA,"20-29",NA,NA,"other","None",NA,"Unknown",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1103785,"Closed","2008-08-14","22:00","Sexual Assault","Trans Facility","4700 Darrah St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362233","Unknown","Female","16","Male","Black",NA,"18",NA,NA,"other","None",NA,"Released",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1089355,"Closed","2008-01-25","21:15","Sexual Assault","Street","4440 E Wingohocking St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","345981","Unknown","Female","13","Male","Black",NA,"16-17",NA,NA,"other","None",NA,"Unknown",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1144050,"Closed","2007-03-14","19:30","Attempted Abduction","Street","800 Carver St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407178","Unknown","Female","8","Male/Male","Unknown/Black",NA,"Unknown/Unknown","Sedan, 4 door","Dark","money",NA,NA,"Ran Away",NA,1,2,40.0178,-75.0895
19124,"Attempted Abduction",1103513,"Closed","2007-05-20","01:30","Sexual Assault","School - Bus Stop","Bridge St & Torresdalel Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361952","Unknown","Female","15","Male","Black",NA,"20-29",NA,"Blue, Dark","other","None",NA,"Released",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1308241,"Closed","2017-09-15","08:09","Attempted Abduction","Street","5300 Jackson St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","616059","Unknown","Female","10","Male","Unknown","35",NA,NA,"Black","money/other","Picture",NA,"Ran Away",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1111331,"Closed","2008-11-24","07:30","Exposure","Trans Facility","3900 Kensington Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","370526","Unknown","Female","15","Male","Black",NA,"40-49",NA,NA,"other","None",NA,"None",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1308238,"Closed","2017-09-14","08:00","Suspicious Incident","School - Facility","5300 Ditman St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","616051","Unknown","Unknown","Unknown","Male","Hispanic",NA,"Unknown",NA,NA,"other","None",NA,"None",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1103700,"Closed","2007-04-10","15:30","Sexual Assault","Street","1137 Arrott St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362155","Unknown","Female","13","Male","Black",NA,"19-25",NA,NA,"other","None",NA,"Released",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1308239,"Closed","2017-09-15","08:00","Attempted Abduction","Street","4900 Ditman St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","616056","Unknown","Female","10","Male","Unknown","35",NA,NA,"Black","money/other","Picture",NA,"Ran Away",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1224263,"Closed","2013-10-15","07:19","Attempted Abduction","Street","4200 Neilson St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","497194","Black","Female","15","Male","Black","25",NA,NA,NA,"other","Conversation",NA,"Fought/Broke Free",NA,1,1,40.0178,-75.0895
19124,"Attempted Abduction",1101603,"Closed","2008-07-23","08:15","Sexual Assault","Home - Residence","4300 Potter St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","359772","Unknown","Female","14","Male","Unknown",NA,"20-39",NA,NA,"other","None",NA,"Adult Intervened",NA,1,1,40.0178,-75.0895
19125,"Attempted Abduction",1103529,"Closed","2007-05-29","14:39","Attempted Abduction","Street","800 Almond St","Philadelphia","PA","Philadelphia","Philadelphia (PA )PD","361967","Unknown","Female","11","Male","White",NA,"50-60",NA,"Green","other","Question",NA,"Ran Away",NA,1,1,39.9788,-75.1262
19125,"Attempted Abduction",1103528,"Closed","2007-05-28","07:11","Exposure","Street","2500 Jasper St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361964/361966","Unknown/Unknown","Female/Female","11/14","Male","Hispanic",NA,"20-29",NA,NA,"other","None",NA,"Ran Away",NA,2,1,39.9788,-75.1262
19125,"Attempted Abduction",1144060,"Closed","2007-03-03","20:30","Exposure","Street","1601 N Delaware Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407188","Unknown","Female","6","Male","Black",NA,"35",NA,NA,"other","None",NA,"Ran Away",NA,1,1,39.9788,-75.1262
19125,"Attempted Abduction",1103608,"Closed","2007-10-29","19:40","Exposure","Office Bldg","2400 Aramingo Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362047","Unknown","Female","10","Male","Black",NA,"32-38",NA,NA,"other","None",NA,"Ran Away",NA,1,1,39.9788,-75.1262
19125,"Attempted Abduction",1092238,"Closed","2008-03-24","16:00","Exposure","Street","2600 Kensington Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","349292","Unknown","Female","17","Male","Black",NA,"3039",NA,NA,"other","Unknown",NA,"Unknown",NA,1,1,39.9788,-75.1262
19128,"Attempted Abduction",1205970,"Closed","2012-10-17","12:30","Attempted Abduction","Street","4300 Lauriston St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","475749","Unknown","Female","8","Male","White","72",NA,NA,NA,"other","Unknown",NA,"Unknown",NA,1,1,40.0402,-75.2231
19129,"Attempted Abduction",1103510,"Closed","2007-05-11","18:00","Exposure","Street","3600 Midvale Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361949","Unknown","Female","7","Male","White",NA,"30-40",NA,NA,"other","None",NA,"Unknown",NA,1,1,40.0118,-75.1861
19129,"Attempted Abduction",1103737,"Closed","2007-04-06","19:15","Abduct & Release","Street","N Bailey St & W Allegheny Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362183","Unknown","Female","12","Male","Black",NA,"Unknown","Sedan, 2 door","Green","other","None",NA,"Fought/Broke Free",NA,1,1,40.0118,-75.1861
19130,"Attempted Abduction",1141849,"Closed","2010-02-20","18:30","Attempted Abduction","Street","500 N Broad St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","404645","Unknown","Female","14","Male","White",NA,"30-40",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9677,-75.1735
19130,"Attempted Abduction",1122154,"Closed","2009-05-04","22:25","Sexual Assault","Street","N 23rd St & Parrish St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","382565","Unknown","Male","13","Male","Unknown",NA,"Unknown","Sedan, 4 door","Silver","other","None",NA,"Ran Away",NA,1,1,39.9677,-75.1735
19130,"Attempted Abduction",1144096,"Closed","2007-01-14","19:45","Sexual Assault","Street","1500 Fairmount Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407228","Unknown","Female","16","Male","Hispanic",NA,"24",NA,NA,"other","Questions",NA,"Unknown",NA,1,1,39.9677,-75.1735
19131,"Attempted Abduction",1141249,"Closed","2010-02-03","08:16","Attempted Abduction","Street","5300 Media St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","403964","Unknown","Female","13","Male","Black",NA,"Unknown",NA,"Black","other","None",NA,"Fought/Broke Free",NA,1,1,39.9845,-75.2282
19131,"Attempted Abduction",1120490,"Closed","2009-04-03","19:15","Attempted Abduction","Street","500 N 52nd St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","380671","Unknown","Female","13","Male","Black",NA,"30-39",NA,"Red","other","None","TEST STATEMENT - The subject told the child to \Get in\.","Adult Intervened",NA,1,1,39.9845,-75.2282
19131,"Attempted Abduction",1112070,"Closed","2008-12-08","08:45","Attempted Abduction","Street","5700 Media St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","371318","Unknown","Female","12","Male","Black",NA,"Unknown",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9845,-75.2282
19131,"Attempted Abduction",1089362,"Closed","2008-02-04","05:50","Sexual Assault","Street","1600 N 56th St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","345987","Unknown","Female","16","Male","Black",NA,"20-29",NA,NA,"other","None",NA,"Unknown",NA,1,1,39.9845,-75.2282
19132,"Attempted Abduction",1103682,"Closed","2007-04-27","08:15","Exposure","Street","2600 W Toronto St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362131","Unknown","Female","11","Male","Black",NA,"Unknown",NA,NA,"other","None",NA,"Ran Away",NA,1,1,39.9954,-75.1698
19132,"Attempted Abduction",1120478,"Closed","2009-03-17","15:30","Sexual Assault","Street","2900 N 26th St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","380655","Unknown","Female","15","Male","Black",NA,"Unknown",NA,NA,"other","None",NA,"Unknown",NA,1,1,39.9954,-75.1698
19132,"Attempted Abduction",1103595,"Closed","2007-09-20","17:30","Sexual Assault","Trans Facility","2700 N Broad St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362032","Unknown","Female","17","Male","Black",NA,"30-35",NA,NA,"other","None",NA,"Other","Train approached",1,1,39.9954,-75.1698
19132,"Attempted Abduction",1103524,"Closed","2007-05-27","12:20","Sexual Assault","Street","1700 W Allegheny Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361962","Unknown","Female","15","Male","Black",NA,"30-36",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9954,-75.1698
19132,"Attempted Abduction",1141266,"Closed","2010-02-07","12:30","Attempted Abduction","Street","3100 W Huntingdon St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","403981/403983","Unknown/Unknown","Male/Male","9/10","Male","Black",NA,"30-39","Van","Blue, Dark","other","None",NA,"Unknown",NA,2,1,39.9954,-75.1698
19132,"Attempted Abduction",1144104,"Closed","2007-04-01","10:15","Attempted Abduction","Street","3000 N 15th St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407236/407237/433299","Unknown/Unknown/Unknown","Female/Male/Unknown","13/9/Unknown","Male","Black",NA,"40-49",NA,"Black","other","None",NA,"Ran Away",NA,3,1,39.9954,-75.1698
19132,"Attempted Abduction",1136290,"Closed","2009-09-05","05:00","Sexual Assault","Home - Residence","2200 N 23rd St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","398439","Unknown","Female","14","Male","Black",NA,"Unknown",NA,NA,"other","None",NA,"Released",NA,1,1,39.9954,-75.1698
19132,"Attempted Abduction",1313842,"Closed","2017-05-09","20:15","Abduct & Release","Retail - Food/Conv/Gas","3301 Ridge Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","623081/623082","Unknown/Unknown","Male/Male","11/14","Male","Black",NA,"20-29","Sedan, 4 door",NA,"money/other","Assistance; Cell Phone",NA,"Released","Ran Away",2,1,39.9954,-75.1698
19132,"Attempted Abduction",1103623,"Closed","2007-11-26","09:00","Attempted Abduction","Trans Facility","2700 N Broad St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362064","Unknown","Female","15","Male","Black",NA,"25-29","Sedan, 4 door","Tan","other","None",NA,"Fought/Broke Free",NA,1,1,39.9954,-75.1698
19132,"Attempted Abduction",1144670,"Closed","2010-04-03","22:30","Suspicious Incident","Street","2100 W Sedgley Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407853/407855","Unknown/Unknown","Female/Female","12/14","Male","Black",NA,"32-37",NA,NA,"other","Accompany",NA,"Ran Away",NA,2,1,39.9954,-75.1698
19133,"Attempted Abduction",1089363,"Closed","2008-02-06","15:00","Attempted Abduction","Street","2300 N Front St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","345988","Unknown","Female","14","Male","Black",NA,"Unknown","Sedan, 2 door","Black","other","Unknown",NA,"Fought/Broke Free",NA,1,1,39.9925,-75.1415
19133,"Attempted Abduction",1144063,"Closed","2007-03-02","08:00","Exposure","Street","900 W Boston Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407191/407192/407193/407194","Unknown/Unknown/Unknown/Unknown","Female/Female/Female/Female","10/10/12/12","Male","Black",NA,"20-29",NA,NA,"other","None",NA,"Ran Away",NA,4,1,39.9925,-75.1415
19133,"Attempted Abduction",1103674,"Closed","2007-05-04","19:45","Attempted Abduction","Street","800 W York St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362119","Unknown","Female","15","Male","Unknown",NA,"60-69","Van","White","ride",NA,NA,"Unknown",NA,1,1,39.9925,-75.1415
19133,"Attempted Abduction",1097115,"Closed","2008-05-05","20:00","Sexual Assault","Street","3100 N Mascher St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","354731","Unknown","Female","16","Male","Hispanic",NA,"40-50",NA,NA,"other","None",NA,"Released",NA,1,1,39.9925,-75.1415
19133,"Attempted Abduction",1101600,"Closed","2008-07-23","11:40","Sexual Assault","Street","2200 N Front St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","359767","Unknown","Female","13","Male","Hispanic",NA,"16",NA,NA,"other","None",NA,"Unknown",NA,1,1,39.9925,-75.1415
19133,"Attempted Abduction",1055518,"Closed","2006-10-03","15:30","Attempted Abduction","School - Facility","N 4th St & W York St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","308770","Hispanic","Female","8","Male","Hispanic",NA,"45-50",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9925,-75.1415
19133,"Attempted Abduction",1103573,"Closed","2007-07-18","08:30","Attempted Abduction","Street","900 W Cambria St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362007","Unknown","Female","9","Male","Black",NA,"19-20","Sedan, 4 door","Black","other","None",NA,"Unknown",NA,1,1,39.9925,-75.1415
19134,"Attempted Abduction",1095173,"Closed","2008-05-01","23:20","Sexual Assault","Street","C St & E Ontario St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","352627","Unknown","Female","15","Male","Hispanic",NA,"20-25",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1103683,"Closed","2007-04-24","08:00","Exposure","Street","3100 Ruth St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362132/362133/362134","Unknown/Unknown/Unknown","Female/Female/Female","13/13/14","Male","Black",NA,"20-30",NA,NA,"other","None",NA,"Ran Away",NA,3,1,39.9925,-75.1133
19134,"Attempted Abduction",1103492,"Closed","2007-05-07","08:55","Attempted Abduction","Street","400 E Erie Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361925","Unknown","Female","14","Male","Black",NA,"30-39","Station Wagon","White","other","Question",NA,"Unknown",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1144101,"Closed","2007-01-07","13:30","Sexual Assault","Street","2159 E Cambria St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","407232","Unknown","Female","8","Male","Hispanic",NA,"40-49",NA,NA,"other","None",NA,"Released",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1091798,"Closed","2008-03-12","06:45","Suspicious Incident","Street","F St & Kensington Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","348787","Unknown","Female","10","Male","Hispanic",NA,"20-29","Van","Black","other","Asked question",NA,"Ran Away",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1091792,"Closed","2008-03-10","08:15","Attempted Abduction","Street","Ella St & Tioga St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","348783","Unknown","Female","10","Male/Male","Hispanic/Black",NA,"30-39/30-39",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,2,39.9925,-75.1133
19134,"Attempted Abduction",1097101,"Closed","2008-05-07","17:30","Sexual Assault","Street","3100 Potter St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","354718","Unknown","Female","15","Male","Black",NA,"20-29","Sedan, 4 door",NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1136291,"Closed","2009-09-06","00:01","Sexual Assault","Street","3200 E Tioga St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","398440","Unknown","Male","16","Male/Male/Male","Black/Black/Black",NA,"Unknown/18-20/16-19","Sport Utility","Blue, Dark","other","Impersonated Police",NA,"Released",NA,1,3,39.9925,-75.1133
19134,"Attempted Abduction",1103710,"Closed","2007-04-10","18:45","Sexual Assault","Street","3400 Aramingo Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362163/362167","Unknown/Unknown","Female/Female","11/11","Male","Hispanic",NA,"21","Van","Green, Dark","money",NA,NA,"Unknown",NA,2,1,39.9925,-75.1133
19134,"Attempted Abduction",1103672,"Closed","2007-05-04","12:15","Sexual Assault","Street","2000 E Sterner St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","362118","Unknown","Female","16","Male","Black",NA,"25",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1189008,"Closed","2012-02-09","14:45","Sexual Assault","Retail - Food/Conv/Gas","Tioga St & E St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","457200","Unknown","Female","6","Male","Black","22",NA,NA,NA,"other","Unknown",NA,"Unknown",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1100251,"Closed","2008-06-17","08:00","Sexual Assault","Street","3300 E St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","358261","Unknown","Female","17","Male","Black",NA,"35-40",NA,NA,"other","None",NA,"Unknown",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1103502,"Closed","2007-05-08","08:30","Sexual Assault","Street","2200 E Ann St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","361935/361940","Unknown/Unknown","Female/Female","12/13","Male","Black",NA,"20-29",NA,NA,"other","None",NA,"Released",NA,2,1,39.9925,-75.1133
19134,"Attempted Abduction",1136286,"Closed","2009-09-16","15:10","Suspicious Incident","Street","3000 Gransback St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","398435","Unknown","Female","11","Male","Hispanic",NA,"21-29",NA,NA,"other","Questions","TEST STATEMENT - The subject told the child to \Get in\.","Adult Intervened",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1128775,"Closed","2009-07-07","09:45","Attempted Abduction","Street","E Allegheny Ave & Belgrade St","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","389986","Unknown","Female","15","Male","Hispanic",NA,"30-39","Sport Utility","Red","other","Question",NA,"Ran Away",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1120487,"Closed","2009-03-21","00:01","Sexual Assault","Street","3500 Kensington Ave","Philadelphia","PA","Philadelphia","Philadelphia (PA) PD","380662","Unknown","Female","15","Male","Black",NA,"20-29",NA,NA,"other","Unknown",NA,"Unknown",NA,1,1,39.9925,-75.1133
19134,"Attempted Abduction",1196846,"Closed","2012-06-13","04:30","Sexual Assault","Home - Residence","D Street & E Clearfield St","Philadelphia","PA","Delaware","Philadelphia (PA) PD","465742","Unknown","Female","9","Male","Unknown",NA,"Unknown",NA,NA,"other","None",NA,"Released",NA,1,1,39.9925,-75.1133
